[2016-08-07 10:28:00] <error>  Traceback (most recent call last):
  File "/home/hitnslab/docker/demo/bin/topo_operate.py", line 173, in TopoDelete
    topo_dict=self.mongo_operate.get_data_condition("cluster",{"caseins":data["caseins"]})[0]
IndexError: list index out of range

[2016-08-07 20:05:32] <info>  virsh start bf33578c_2c51e11a_0_1
[2016-08-07 20:05:32] <info>  sudo ovs-docker add-port br_24236a9e eth0 bf33578c_router_4
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_router_4 ifconfig eth0 10.0.3.1/24
[2016-08-07 20:05:32] <info>  sudo ovs-docker add-port br_24236a9e eth0 bf33578c_24236a9e_0_1
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_24236a9e_0_1 ifconfig eth0 10.0.3.2/24
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_24236a9e_0_1 route add default gw 10.0.3.1
[2016-08-07 20:05:32] <info>  sudo ovs-docker add-port br_24236a9e eth0 bf33578c_24236a9e_0_2
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_24236a9e_0_2 ifconfig eth0 10.0.3.3/24
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_24236a9e_0_2 route add default gw 10.0.3.1
[2016-08-07 20:05:32] <info>  sudo ovs-docker add-port br_24236a9e eth0 bf33578c_24236a9e_0_3
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_24236a9e_0_3 ifconfig eth0 10.0.3.4/24
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_24236a9e_0_3 route add default gw 10.0.3.1
[2016-08-07 20:05:32] <info>  sudo ovs-docker add-port br_24236a9e eth0 bf33578c_24236a9e_0_4
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_24236a9e_0_4 ifconfig eth0 10.0.3.5/24
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_24236a9e_0_4 route add default gw 10.0.3.1
[2016-08-07 20:05:32] <info>  sudo ovs-docker add-port br_24236a9e eth0 bf33578c_24236a9e_0_5
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_24236a9e_0_5 ifconfig eth0 10.0.3.6/24
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_24236a9e_0_5 route add default gw 10.0.3.1
[2016-08-07 20:05:32] <info>  sudo ovs-docker add-port br_24236a9e eth0 bf33578c_24236a9e_0_6
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_24236a9e_0_6 ifconfig eth0 10.0.3.7/24
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_24236a9e_0_6 route add default gw 10.0.3.1
[2016-08-07 20:05:32] <info>  sudo ovs-docker add-port br_24236a9e eth0 bf33578c_24236a9e_0_7
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_24236a9e_0_7 ifconfig eth0 10.0.3.8/24
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_24236a9e_0_7 route add default gw 10.0.3.1
[2016-08-07 20:05:32] <info>  sudo ovs-docker add-port br_24236a9e eth0 bf33578c_24236a9e_0_8
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_24236a9e_0_8 ifconfig eth0 10.0.3.9/24
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_24236a9e_0_8 route add default gw 10.0.3.1
[2016-08-07 20:05:32] <info>  sudo ovs-docker add-port br_24236a9e eth0 bf33578c_24236a9e_0_9
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_24236a9e_0_9 ifconfig eth0 10.0.3.10/24
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_24236a9e_0_9 route add default gw 10.0.3.1
[2016-08-07 20:05:32] <info>  sudo ovs-docker add-port br_24236a9e eth0 bf33578c_24236a9e_0_10
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_24236a9e_0_10 ifconfig eth0 10.0.3.11/24
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_24236a9e_0_10 route add default gw 10.0.3.1
[2016-08-07 20:05:32] <info>  sudo ovs-docker add-port br_6afa4f69 eth0 bf33578c_router_5
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_router_5 ifconfig eth0 10.0.4.1/24
[2016-08-07 20:05:32] <info>  sudo ovs-docker add-port br_6afa4f69 eth0 bf33578c_6afa4f69_0_1
[2016-08-07 20:05:32] <info>  sudo docker exec bf33578c_6afa4f69_0_1 ifconfig eth0 10.0.4.2/24
